,Active Calories,Resting Calories,Total
Sep 11,238,1939,2177
Sep 12,258,1933,2191
Sep 13,176,1932,2108
Sep 14,142,1938,2080
Sep 15,171,1938,2109
Sep 16,271,1934,2205
Sep 17,144,1932,2076
Sep 18,264,1934,2198
Sep 19,215,1932,2147
Sep 20,454,1932,2386
Sep 21,161,1932,2093
Sep 22,187,1932,2119
Sep 23,131,2012,2143
Sep 24,134,1932,2066
Sep 25,520,1932,2452
Sep 26,513,1932,2445
Sep 27,449,1932,2381
Sep 28,511,1932,2443
Sep 29,598,1932,2530
Sep 30,564,1932,2496
Oct 1,764,1932,2696
Oct 2,528,1932,2460
Oct 3,378,1932,2310
Oct 4,298,2978,3276
Oct 5,356,2987,3343
Oct 6,165,1928,2093
Oct 7,128,1922,2050
Oct 8,204,1914,2118
